"","spec.name","spec.name.ORIG","Squished","Brackets.detected","Number.detected","Unique","Matched","Fuzzy","Fuzzy.toomany","Fuzzy.two","Fuzzy.one","Fuzzy.dist","OriSeq","Subseq","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","references","source","majorGroup","tplId","Hybrid","New.accepted","Old.status","Old.ID","Old.name","One.Reason"
"1","Agastache nepetoides","Agastache nepetoides",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1,1,"wfo-0000904334","urn:lsid:ipni.org:names:6315-2","4471","Agastache nepetoides","SPECIES","wfo-4000000903","(L.) Kuntze","Lamiaceae","","","","Agastache","","nepetoides","","","","Revis. Gen. Pl. 2: 511 (1891)","ACCEPTED","","wfo-0000217203","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-4471 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/kew-4471 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/kew-4471","wcs","A","http://www.theplantlist.org/tpl1.1/record/kew-4471","",FALSE,"","","",""
"2","Agastache scrophulariifolia","Agastache scrophulariifolia",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2,1,"wfo-0000906952","urn:lsid:ipni.org:names:1063608-2","4496","Agastache scrophulariifolia","SPECIES","wfo-4000000903","(Willd.) Kuntze","Lamiaceae","","","","Agastache","","scrophulariifolia","","","","Revis. Gen. Pl. 2: 511 (1891)","ACCEPTED","","wfo-0000217229","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-4496 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/kew-4496 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/kew-4496","wcs","A","http://www.theplantlist.org/tpl1.1/record/kew-4496","",FALSE,"","","",""
"3","Agalinis tenuifolia","Agalinis tenuifolia",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,3,1,"wfo-0000522848","urn:lsid:ipni.org:names:798597-1","757471","Agalinis tenuifolia","SPECIES","wfo-4000000878","(Vahl) Raf.","Orobanchaceae","","","","Agalinis","","tenuifolia","","","","New Fl. [Rafinesque] ii. 64 (1836).","ACCEPTED","","wfo-0000701835","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2625127 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/kew-2625127 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/kew-2625127","cmp","A","http://www.theplantlist.org/tpl1.1/record/kew-2625127","",FALSE,"","","",""
"4","Allium canadense","Allium canadense",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,4,1,"wfo-0000755875","urn:lsid:ipni.org:names:527759-1","295220","Allium canadense","SPECIES","wfo-4000001260","L.","Amaryllidaceae","","","","Allium","","canadense","","","","Sp. Pl. : 1195 (1753)","ACCEPTED","","","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-295220 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/kew-295220 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/kew-295220","wcs","A","http://www.theplantlist.org/tpl1.1/record/kew-295220","",FALSE,"","","","Not a synonym"
"5","Allium cernuum","Allium cernuum",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,5,1,"wfo-0000755924","urn:lsid:ipni.org:names:527801-1","295267","Allium cernuum","SPECIES","wfo-4000001260","Roth","Amaryllidaceae","","","","Allium","","cernuum","","","","Arch. Bot. (Leipzig) 1(2): 40 (1798)","ACCEPTED","","","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-295267 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/kew-295267 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/kew-295267","wcs","A","http://www.theplantlist.org/tpl1.1/record/kew-295267","",FALSE,"","","","Not a synonym"
"6","Amorpha canescens","Amorpha canescens",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,6,1,"wfo-0000178822","urn:lsid:ipni.org:names:60431313-2","24889","Amorpha canescens","SPECIES","wfo-4000001655","Pursh","Fabaceae","","","","Amorpha","","canescens","","","","Fl. Amer. Sept. 2: 467 (1813)","ACCEPTED","","","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-24889 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/ild-24889 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/ild-24889","ildis","A","http://www.theplantlist.org/tpl1.1/record/ild-24889","",FALSE,"","","","Accepted"
"7","Andropogon gerardii","Andropogon gerardii",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,7,1,"wfo-0000846629","urn:lsid:ipni.org:names:30435428-2","392462","Andropogon gerardii","SPECIES","wfo-4000002006","Vitman","Poaceae","","","","Andropogon","","gerardii","","","","Summa Pl. 6: 16 (1792)","ACCEPTED","","","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-392462 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/kew-392462 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/kew-392462","wcs","A","http://www.theplantlist.org/tpl1.1/record/kew-392462","",FALSE,"","","",""
"8","Anemone canadensis","Anemone canadensis",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,8,1,"wfo-0001330671","urn:lsid:ipni.org:names:60473574-2","60473574-2","Anemonastrum canadense","SPECIES","wfo-4000002051","(L.) Mosyakin","Ranunculaceae","","","","Anemonastrum","","canadense","","","","Phytoneuron 2016-79: 4 (2016)","ACCEPTED","","","","","https://wcvp.science.kew.org/taxon/60473574-2","ipni","A","","",TRUE,"SYNONYM","wfo-0000535158","Anemone canadensis",""
"9","Anemone cylindrica","Anemone cylindrica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,9,1,"wfo-0000535215","urn:lsid:ipni.org:names:708323-1","770270","Anemone cylindrica","SPECIES","wfo-4000002053","A.Gray","Ranunculaceae","","","","Anemone","","cylindrica","","","","Ann. Lyceum Nat. Hist. New York 3: 221 (1828-836)","ACCEPTED","","","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2638150 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/kew-2638150 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/kew-2638150","cmp","A","http://www.theplantlist.org/tpl1.1/record/kew-2638150","",FALSE,"","","",""
"10","Anemone virginiana","Anemone virginiana",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,10,1,"wfo-0000535900","urn:lsid:ipni.org:names:708711-1","770910","Anemone virginiana","SPECIES","wfo-4000002053","L.","Ranunculaceae","","","","Anemone","","virginiana","","","","Sp. Pl. : 540 (1753)","ACCEPTED","","","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2638797 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/kew-2638797 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/kew-2638797","cmp","A","http://www.theplantlist.org/tpl1.1/record/kew-2638797","",FALSE,"","","",""
"11","Antennaria neglecta","Antennaria neglecta",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,11,1,"wfo-0000029508","urn:lsid:ipni.org:names:14759-2","GCC-5696D1D3-7B37-4BF0-941F-DA316DA528D2","Antennaria neglecta","SPECIES","wfo-4000002356","Greene","Asteraceae","","","","Antennaria","","neglecta","","","","Pittonia 3(16): 173 (1897)","ACCEPTED","","","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-128516 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/gcc-128516 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/gcc-128516","gcc","A","http://www.theplantlist.org/tpl1.1/record/gcc-128516","",FALSE,"","","",""
"12","Arnoglossum plantagineum","Arnoglossum plantagineum",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,12,1,"wfo-0000073256","urn:lsid:ipni.org:names:20123-2","GCC-F9FB5B07-70FA-4642-8F33-377C155B1B27","Arnoglossum plantagineum","SPECIES","wfo-4000003096","Raf.","Asteraceae","","","","Arnoglossum","","plantagineum","","","","Fl. Ludov. : 65 (1817)","ACCEPTED","","","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-29997 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/gcc-29997 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/gcc-29997","gcc","A","http://www.theplantlist.org/tpl1.1/record/gcc-29997","",FALSE,"","","",""
"13","Asclepias hirtella","Asclepias hirtella",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,13,1,"wfo-0000551395","urn:lsid:ipni.org:names:21200-2","786898","Asclepias hirtella","SPECIES","wfo-4000003243","(Pennell) Woodson","Apocynaceae","","","","Asclepias","","hirtella","","","","Ann. Missouri Bot. Gard. 28: 207 (1941)","ACCEPTED","","wfo-0000515336","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2654849 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/kew-2654849 >The Plant List v.1.0</a>","https://wcvp.science.kew.org/taxon/21200-2","cmp","A","http://www.theplantlist.org/tpl1.1/record/kew-2654849","",FALSE,"","","",""
"14","Asclepias sullivantii","Asclepias sullivantii",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,14,1,"wfo-0000551798","urn:lsid:ipni.org:names:94678-1","787262","Asclepias sullivantii","SPECIES","wfo-4000003243","Engelm. ex A.Gray","Apocynaceae","","","","Asclepias","","sullivantii","","","","Manual : 366 (1848)","ACCEPTED","","","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2655214 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/kew-2655214 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/kew-2655214","cmp","A","http://www.theplantlist.org/tpl1.1/record/kew-2655214","",FALSE,"","","","Not a synonym"
"15","Asclepias syriaca","Asclepias syriaca",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,15,1,"wfo-0000551803","urn:lsid:ipni.org:names:94683-1","787267","Asclepias syriaca","SPECIES","wfo-4000003243","L.","Apocynaceae","","","","Asclepias","","syriaca","","","","Sp. Pl. 1: 214. 1753 [1 May 1753]","ACCEPTED","","","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2655219 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/kew-2655219 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/kew-2655219","cmp","A","http://www.theplantlist.org/tpl1.1/record/kew-2655219","",FALSE,"","","",""
"16","Asclepias tuberosa","Asclepias tuberosa",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,16,1,"wfo-0000551830","urn:lsid:ipni.org:names:94704-1","787292","Asclepias tuberosa","SPECIES","wfo-4000003243","L.","Apocynaceae","","","","Asclepias","","tuberosa","","","","Sp. Pl. : 217 (1753)","ACCEPTED","","","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2655244 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/kew-2655244 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/kew-2655244","cmp","A","http://www.theplantlist.org/tpl1.1/record/kew-2655244","",FALSE,"","","",""
"17","Asclepias verticillata","Asclepias verticillata",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,17,1,"wfo-0000551862","urn:lsid:ipni.org:names:94722-1","787322","Asclepias verticillata","SPECIES","wfo-4000003243","L.","Apocynaceae","","","","Asclepias","","verticillata","","","","Sp. Pl. : 217 (1753)","ACCEPTED","","","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2655274 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/kew-2655274 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/kew-2655274","cmp","A","http://www.theplantlist.org/tpl1.1/record/kew-2655274","",FALSE,"","","",""
"18","Astragalus canadensis","Astragalus canadensis",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,18,1,"wfo-0000168919","urn:lsid:ipni.org:names:24595-2","15256","Astragalus canadensis","SPECIES","wfo-4000003460","L.","Fabaceae","","","","Astragalus","","canadensis","","","","Sp. Pl. : 757 (1753)","ACCEPTED","","","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-15256 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/ild-15256 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/ild-15256","ildis","A","http://www.theplantlist.org/tpl1.1/record/ild-15256","",FALSE,"","","",""
