CODE,treeName,smithName,splicedTreeName,Scientific.Name,Family,Family.simplified,less.than.four,phylo.spp
AGANEP,Agastache_nepetoides,Agastache_nepetoides,Agastache_nepetoides,Agastache nepetoides,Lamiaceae,Lamiaceae,NA,agastache nepetoides
AGASCR,Agastache_scrophulariifolia,Agastache_scrophulariifolia,Agastache_scrophulariifolia,Agastache scrophulariifolia,Lamiaceae,Lamiaceae,NA,agastache scrophulariifolia
AGATEN,Agalinis_tenuifolia,Agalinis_tenuifolia,Agalinis_tenuifolia,Agalinis tenuifolia,Scrophulariaceae,Other,NA,agalinis tenuifolia
ALLCAN,Allium_canadense,Allium_canadense_var._canadense,Allium_canadense_var._canadense,Allium canadense,Liliaceae,Other,NA,allium canadense
ALLCER,Allium_cernuum,Allium_cernuum,Allium_cernuum,Allium cernuum,Liliaceae,Other,NA,allium cernuum
AMOCAN,Amorpha_canescens,Amorpha_canescens,Amorpha_canescens,Amorpha canescens,Fabaceae,Fabaceae,NA,amorpha canescens
ANDGER,Andropogon_gerardii,Andropogon_gerardii,Andropogon_gerardii,Andropogon gerardii,Poaceae,Poaceae,NA,andropogon gerardii
ANECAN,Anemone_canadensis,Anemone_canadensis,Anemone_canadensis,Anemone canadensis,Ranunculaceae,Ranunculaceae,NA,anemone canadensis
ANECYL,Anemone_cylindrica,Anemone_cylindrica,Anemone_cylindrica,Anemone cylindrica,Ranunculaceae,Ranunculaceae,NA,anemone cylindrica
ANEVIR,Anemone_virginiana,Anemone_virginiana,Anemone_virginiana,Anemone virginiana,Ranunculaceae,Ranunculaceae,NA,anemone virginiana
ANTNEG,Antennaria_neglecta,Antennaria_neglecta,Antennaria_neglecta,Antennaria neglecta,Asteraceae,Asteraceae,NA,antennaria neglecta
ARNPLA,Arnoglossum_plantagineum,Arnoglossum_plantagineum,Arnoglossum_plantagineum,Arnoglossum plantagineum,Asteraceae,Asteraceae,NA,arnoglossum plantagineum
ASCHIR,Asclepias_hirtella,Asclepias_hirtella,Asclepias_hirtella,Asclepias hirtella,Asclepiadaceae,Asclepiadaceae,NA,asclepias hirtella
ASCSUL,Asclepias_sullivantii,Asclepias_sullivantii,Asclepias_sullivantii,Asclepias sullivantii,Asclepiadaceae,Asclepiadaceae,NA,asclepias sullivantii
ASCSYR,Asclepias_syriaca,Asclepias_syriaca,Asclepias_syriaca,Asclepias syriaca,Asclepiadaceae,Asclepiadaceae,NA,asclepias syriaca
ASCTUB,Asclepias_tuberosa,Asclepias_tuberosa_subsp._interior,Asclepias_tuberosa_subsp._interior,Asclepias tuberosa,Asclepiadaceae,Asclepiadaceae,NA,asclepias tuberosa
ASCVER,Asclepias_verticillata,Asclepias_verticillata,Asclepias_verticillata,Asclepias verticillata,Asclepiadaceae,Asclepiadaceae,NA,asclepias verticillata
ASCVIR,Asclepias_viridis,Asclepias_viridis,Asclepias_viridis,Asclepias viridis,Asclepiadaceae,Asclepiadaceae,NA,asclepias viridis
ASTCAN,Astragalus_canadensis,Astragalus_canadensis,Astragalus_canadensis,Astragalus canadensis,Fabaceae,Fabaceae,NA,astragalus canadensis
BAPALB,Baptisia_alba,Baptisia_alba,Baptisia_alba,Baptisia alba,Fabaceae,Fabaceae,NA,baptisia alba
BAPBRA,Baptisia_bracteata,Baptisia_bracteata,Baptisia_bracteata,Baptisia bracteata,Fabaceae,Fabaceae,NA,baptisia bracteata
BLECIL,Blephilia_ciliata,Blephilia_ciliata,Blephilia_ciliata,Blephilia ciliata,Lamiaceae,Lamiaceae,NA,blephilia ciliata
BOUCUR,Bouteloua_curtipendula,Bouteloua_curtipendula,Bouteloua_curtipendula,Bouteloua curtipendula,Poaceae,Poaceae,NA,bouteloua curtipendula
BRIEUP,Brickellia_eupatorioides,Brickellia_eupatorioides,Brickellia_eupatorioides,Brickellia eupatorioides,Asteraceae,Asteraceae,NA,brickellia eupatorioides
BROKAL,Bromus_kalmii,Bromus_kalmii,Bromus_kalmii,Bromus kalmii,Poaceae,Poaceae,NA,bromus kalmii
CAMROT,Campanula_rotundifolia,Campanula_rotundifolia,Campanula_rotundifolia,Campanula rotundifolia,Campanulaceae,Other,NA,campanula rotundifolia
CAMSCI,Camassia_scilloides,Camassia_scilloides,Camassia_scilloides,Camassia scilloides,Asparagaceae,Other,NA,camassia scilloides
CASCOC,Castilleja_coccinea,Castilleja_coccinea,Castilleja_coccinea,Castilleja coccinea,Orobanchaceae,Other,NA,castilleja coccinea
CEAAME,Ceanothus_americanus,Ceanothus_americanus,Ceanothus_americanus,Ceanothus americanus,Rhamnaceae,Other,NA,ceanothus americanus
CHAFAS,Chamaecrista_fasciculata,Chamaecrista_fasciculata,Chamaecrista_fasciculata,Chamaecrista fasciculata,Fabaceae,Fabaceae,NA,chamaecrista fasciculata
CORPAL,Coreopsis_palmata,Coreopsis_palmata,Coreopsis_palmata,Coreopsis palmata,Asteraceae,Asteraceae,NA,coreopsis palmata
CORTRI,Coreopsis_tripteris,Coreopsis_tripteris,Coreopsis_tripteris,Coreopsis tripteris,Asteraceae,Asteraceae,NA,coreopsis tripteris
CXANNE,Carex_annectens,Carex_annectens,Carex_annectens,Carex annectens,Cyperaceae,Cyperaceae,NA,carex annectens
CXBICK,Carex_bicknellii,Carex_bicknellii,Carex_bicknellii,Carex bicknellii,Cyperaceae,Cyperaceae,NA,carex bicknellii
CXBLAN,Carex_blanda,Carex_blanda,Carex_blanda,Carex blanda,Cyperaceae,Cyperaceae,NA,carex blanda
CXBREV,Carex_brevior,Carex_brevior,Carex_brevior,Carex brevior,Cyperaceae,Cyperaceae,NA,carex brevior
CXGRAV,Carex_gravida,Carex_gravida,Carex_gravida,Carex gravida,Cyperaceae,Cyperaceae,NA,carex gravida
CXMOLE,Carex_molesta,Carex_molesta,Carex_molesta,Carex molesta,Cyperaceae,Cyperaceae,NA,carex molesta
CXNORM,Carex_normalis,Carex_normalis,Carex_normalis,Carex normalis,Cyperaceae,Cyperaceae,NA,carex normalis
DALCAN,Dalea_candida,Dalea_candida,Dalea_candida,Dalea candida,Fabaceae,Fabaceae,NA,dalea candida
DALPUR,Dalea_purpurea,Dalea_purpurea,Dalea_purpurea,Dalea purpurea,Fabaceae,Fabaceae,NA,dalea purpurea
DESCAN,Desmodium_canadense,Desmodium_canadense,Desmodium_canadense,Desmodium canadense,Fabaceae,Fabaceae,NA,desmodium canadense
DESILL,Desmodium_illinoense,Desmodium_illinoense,Desmodium_illinoense,Desmodium illinoense,Fabaceae,Fabaceae,NA,desmodium illinoense
DODMEA,Dodecatheon_meadia,Dodecatheon_media,Dodecatheon_media,Dodecatheon meadia,Primulaceae,Other,NA,dodecatheon meadia
DSMILL,Desmanthus_illinoensis,Desmanthus_illinoensis,Desmanthus_illinoensis,Desmanthus illinoensis,Fabaceae,Fabaceae,NA,desmanthus illinoensis
ECHPAL,Echinacea_pallida,Echinacea_pallida,Echinacea_pallida,Echinacea pallida,Asteraceae,Asteraceae,NA,echinacea pallida
ECHPUR,Echinacea_purpurea,Echinacea_purpurea,Echinacea_purpurea,Echinacea purpurea,Asteraceae,Asteraceae,NA,echinacea purpurea
ELYCAN,Elymus_canadensis,Elymus_canadensis,Elymus_canadensis,Elymus canadensis,Poaceae,Poaceae,NA,elymus canadensis
ERASPE,Eragrostis_spectabilis,Eragrostis_spectabilis,Eragrostis_spectabilis,Eragrostis spectabilis,Poaceae,Poaceae,NA,eragrostis spectabilis
ERYYUC,Eryngium_yuccifolium,Eryngium_yuccifolium,Eryngium_yuccifolium,Eryngium yuccifolium,Apiaceae,Apiaceae,NA,eryngium yuccifolium
EUPALT,Eupatorium_altissimum,Eupatorium_altissimum,Eupatorium_altissimum,Eupatorium altissimum,Asteraceae,Asteraceae,NA,eupatorium altissimum
EUPCOR,Euphorbia_corollata,Euphorbia_corollata,Euphorbia_corollata,Euphorbia corollata,Euphorbiaceae,Other,NA,euphorbia corollata
EUTGRA,Euthamia_graminifolia,Euthamia_graminifolia,Euthamia_graminifolia,Euthamia graminifolia,Asteraceae,Asteraceae,NA,euthamia graminifolia
FRAVIR,Fragaria_virginiana,Fragaria_virginiana,Fragaria_virginiana,Fragaria virginiana,Rosaceae,Rosaceae,NA,fragaria virginiana
GENAND,Gentiana_andrewsii,Gentiana_andrewsii,Gentiana_andrewsii,Gentiana andrewsii,Gentianaceae,Other,NA,gentiana andrewsii
HELAUT,Helenium_autumnale,Helenium_autumnale,Helenium_autumnale,Helenium autumnale,Asteraceae,Asteraceae,NA,helenium autumnale
HELHEL,Heliopsis_helianthoides,Heliopsis_helianthoides_var._occidentalis,Heliopsis_helianthoides_var._occidentalis,Heliopsis helianthoides,Asteraceae,Asteraceae,NA,heliopsis helianthoides
HELMOL,Helianthus_mollis,Helianthus_mollis,Helianthus_mollis,Helianthus mollis,Asteraceae,Asteraceae,NA,helianthus mollis
HELOCC,Helianthus_occidentalis,Helianthus_occidentalis,Helianthus_occidentalis,Helianthus occidentalis,Asteraceae,Asteraceae,NA,helianthus occidentalis
HELPAU,Helianthus_pauciflorus,Helianthus_pauciflorus_subsp._pauciflorus,Helianthus_pauciflorus_subsp._pauciflorus,Helianthus pauciflorus,Asteraceae,Asteraceae,NA,helianthus pauciflorus
HELSTR,Helianthus_strumosus,Helianthus_strumosus,Helianthus_strumosus,Helianthus strumosus,Asteraceae,Asteraceae,NA,helianthus strumosus
HEURIC,Heuchera_richardsonii,Heuchera_richardsonii,Heuchera_richardsonii,Heuchera richardsonii,Saxifragaceae,Other,NA,heuchera richardsonii
HIEODO,Hierochloe_odorata,Hierochloe_borealis,Hierochloe_borealis,Hierochloe odorata,Poaceae,Poaceae,NA,hierochloe odorata
HYPPUN,Hypericum_punctatum,Hypericum_punctatum,Hypericum_punctatum,Hypericum punctatum,Hypericaceae,Hypericaceae,NA,hypericum punctatum
HYPPYR,Hypericum_pyramidatum,Hypericum_ascyron_subsp._pyramidatum,Hypericum_ascyron_subsp._pyramidatum,Hypericum pyramidatum,Hypericaceae,Hypericaceae,NA,hypericum pyramidatum
JUNDUD,Juncus_dudleyi,Juncus_dudleyi,Juncus_dudleyi,Juncus dudleyi,Juncaceae,Juncaceae,NA,juncus dudleyi
JUNINT,Juncus_interior,Juncus_interior,Juncus_interior,Juncus interior,Juncaceae,Juncaceae,NA,juncus interior
JUNTEN,Juncus_tenuis,Juncus_tenuis,Juncus_tenuis,Juncus tenuis,Juncaceae,Juncaceae,NA,juncus tenuis
KOEMAC,Koeleria_pyramidata,Koeleria_pyramidata,Koeleria_pyramidata,Koeleria macrantha,Poaceae,Poaceae,NA,koeleria macrantha
LESCAP,Lespedeza_capitata,Lespedeza_capitata,Lespedeza_capitata,Lespedeza capitata,Fabaceae,Fabaceae,NA,lespedeza capitata
LIAASP,Liatris_aspera,Liatris_aspera,Liatris_aspera,Liatris aspera,Asteraceae,Asteraceae,NA,liatris aspera
LIAPYC,Liatris_pycnostachya,Liatris_pycnostachya,Liatris_pycnostachya,Liatris pycnostachya,Asteraceae,Asteraceae,NA,liatris pycnostachya
LIASCN,Liatris_scariosa,Liatris_scariosa,Liatris_scariosa,Liatris scariosa,Asteraceae,Asteraceae,NA,liatris scariosa
LIASPI,Liatris_spicata,Liatris_spicata,Liatris_spicata,Liatris spicata,Asteraceae,Asteraceae,NA,liatris spicata
LILMIC,Lilium_michiganense,Lilium_michiganense,Lilium_michiganense,Lilium michiganense,Liliaceae,Other,NA,lilium michiganense
LOBSPI,Lobelia_spicata,Lobelia_spicata,Lobelia_spicata,Lobelia spicata,Campanulaceae,Other,NA,lobelia spicata
MAIRAC,Maianthemum_racemosum,Maianthemum_racemosum,Maianthemum_racemosum,Maianthemum racemosum,Asparagaceae,Other,NA,maianthemum racemosum
MONBRA,Monarda_bradburiana,Monarda_bradburiana,Monarda_bradburiana,Monarda bradburiana,Lamiaceae,Lamiaceae,NA,monarda bradburiana
MONFIS,Monarda_fistulosa,Monarda_fistulosa,Monarda_fistulosa,Monarda fistulosa,Lamiaceae,Lamiaceae,NA,monarda fistulosa
OENPIL,Oenothera_pilosella,Oenothera_pilosella,Oenothera_pilosella,Oenothera pilosella,Onagraceae,Other,NA,oenothera pilosella
OLIRIG,Solidago_rigida,Solidago_rigida,Solidago_rigida,Oligoneuron rigidum,Asteraceae,Asteraceae,NA,oligoneuron rigidum
PANVIR,Panicum_virgatum,Panicum_virgatum,Panicum_virgatum,Panicum virgatum,Poaceae,Poaceae,NA,panicum virgatum
PARINT,Parthenium_integrifolium,Parthenium_integrifolium,Parthenium_integrifolium,Parthenium integrifolium,Asteraceae,Asteraceae,NA,parthenium integrifolium
