"","CODE","treeName","smithName","splicedTreeName","Scientific.Name","Family","Family.simplified","less.than.four","phylo.spp","accepted","author"
"1","AGANEP","Agastache_nepetoides","Agastache_nepetoides","Agastache_nepetoides","Agastache nepetoides","Lamiaceae","Lamiaceae",NA,"agastache nepetoides","Agastache nepetoides","(L.) Kuntze"
"2","AGASCR","Agastache_scrophulariifolia","Agastache_scrophulariifolia","Agastache_scrophulariifolia","Agastache scrophulariifolia","Lamiaceae","Lamiaceae",NA,"agastache scrophulariifolia","Agastache scrophulariifolia","(Willd.) Kuntze"
"3","AGATEN","Agalinis_tenuifolia","Agalinis_tenuifolia","Agalinis_tenuifolia","Agalinis tenuifolia","Scrophulariaceae","Other",NA,"agalinis tenuifolia","Agalinis tenuifolia","(Vahl) Raf."
"4","ALLCAN","Allium_canadense","Allium_canadense_var._canadense","Allium_canadense_var._canadense","Allium canadense","Liliaceae","Other",NA,"allium canadense","Allium canadense","L."
"5","ALLCER","Allium_cernuum","Allium_cernuum","Allium_cernuum","Allium cernuum","Liliaceae","Other",NA,"allium cernuum","Allium cernuum","Roth"
"6","AMOCAN","Amorpha_canescens","Amorpha_canescens","Amorpha_canescens","Amorpha canescens","Fabaceae","Fabaceae",NA,"amorpha canescens","Amorpha canescens","Pursh"
"7","ANDGER","Andropogon_gerardii","Andropogon_gerardii","Andropogon_gerardii","Andropogon gerardii","Poaceae","Poaceae",NA,"andropogon gerardii","Andropogon gerardii","Vitman"
"8","ANECAN","Anemone_canadensis","Anemone_canadensis","Anemone_canadensis","Anemone canadensis","Ranunculaceae","Ranunculaceae",NA,"anemone canadensis","Anemonastrum canadense","(L.) Mosyakin"
"9","ANECYL","Anemone_cylindrica","Anemone_cylindrica","Anemone_cylindrica","Anemone cylindrica","Ranunculaceae","Ranunculaceae",NA,"anemone cylindrica","Anemone cylindrica","A.Gray"
"10","ANEVIR","Anemone_virginiana","Anemone_virginiana","Anemone_virginiana","Anemone virginiana","Ranunculaceae","Ranunculaceae",NA,"anemone virginiana","Anemone virginiana","L."
"11","ANTNEG","Antennaria_neglecta","Antennaria_neglecta","Antennaria_neglecta","Antennaria neglecta","Asteraceae","Asteraceae",NA,"antennaria neglecta","Antennaria neglecta","Greene"
"12","ARNPLA","Arnoglossum_plantagineum","Arnoglossum_plantagineum","Arnoglossum_plantagineum","Arnoglossum plantagineum","Asteraceae","Asteraceae",NA,"arnoglossum plantagineum","Arnoglossum plantagineum","Raf."
"13","ASCHIR","Asclepias_hirtella","Asclepias_hirtella","Asclepias_hirtella","Asclepias hirtella","Asclepiadaceae","Asclepiadaceae",NA,"asclepias hirtella","Asclepias hirtella","(Pennell) Woodson"
"14","ASCSUL","Asclepias_sullivantii","Asclepias_sullivantii","Asclepias_sullivantii","Asclepias sullivantii","Asclepiadaceae","Asclepiadaceae",NA,"asclepias sullivantii","Asclepias sullivantii","Engelm. ex A.Gray"
"15","ASCSYR","Asclepias_syriaca","Asclepias_syriaca","Asclepias_syriaca","Asclepias syriaca","Asclepiadaceae","Asclepiadaceae",NA,"asclepias syriaca","Asclepias syriaca","L."
"16","ASCTUB","Asclepias_tuberosa","Asclepias_tuberosa_subsp._interior","Asclepias_tuberosa_subsp._interior","Asclepias tuberosa","Asclepiadaceae","Asclepiadaceae",NA,"asclepias tuberosa","Asclepias tuberosa","L."
"17","ASCVER","Asclepias_verticillata","Asclepias_verticillata","Asclepias_verticillata","Asclepias verticillata","Asclepiadaceae","Asclepiadaceae",NA,"asclepias verticillata","Asclepias verticillata","L."
"18","ASCVIR","Asclepias_viridis","Asclepias_viridis","Asclepias_viridis","Asclepias viridis","Asclepiadaceae","Asclepiadaceae",NA,"asclepias viridis","Asclepias viridis","Walter"
"19","ASTCAN","Astragalus_canadensis","Astragalus_canadensis","Astragalus_canadensis","Astragalus canadensis","Fabaceae","Fabaceae",NA,"astragalus canadensis","Astragalus canadensis","L."
"20","BAPALB","Baptisia_alba","Baptisia_alba","Baptisia_alba","Baptisia alba","Fabaceae","Fabaceae",NA,"baptisia alba","Baptisia alba","(L.) R.Br."
"21","BAPBRA","Baptisia_bracteata","Baptisia_bracteata","Baptisia_bracteata","Baptisia bracteata","Fabaceae","Fabaceae",NA,"baptisia bracteata","Baptisia bracteata","Muhl. ex Elliott"
"22","BLECIL","Blephilia_ciliata","Blephilia_ciliata","Blephilia_ciliata","Blephilia ciliata","Lamiaceae","Lamiaceae",NA,"blephilia ciliata","Blephilia ciliata","(L.) Raf. ex Benth."
"23","BOUCUR","Bouteloua_curtipendula","Bouteloua_curtipendula","Bouteloua_curtipendula","Bouteloua curtipendula","Poaceae","Poaceae",NA,"bouteloua curtipendula","Bouteloua curtipendula","(Michx.) Torr."
"24","BRIEUP","Brickellia_eupatorioides","Brickellia_eupatorioides","Brickellia_eupatorioides","Brickellia eupatorioides","Asteraceae","Asteraceae",NA,"brickellia eupatorioides","Brickellia eupatorioides","(L.) Shinners"
"25","BROKAL","Bromus_kalmii","Bromus_kalmii","Bromus_kalmii","Bromus kalmii","Poaceae","Poaceae",NA,"bromus kalmii","Bromus kalmii","A.Gray"
"26","CAMROT","Campanula_rotundifolia","Campanula_rotundifolia","Campanula_rotundifolia","Campanula rotundifolia","Campanulaceae","Other",NA,"campanula rotundifolia","Campanula rotundifolia","L."
"27","CAMSCI","Camassia_scilloides","Camassia_scilloides","Camassia_scilloides","Camassia scilloides","Asparagaceae","Other",NA,"camassia scilloides","Camassia scilloides","(Raf.) Cory"
"28","CASCOC","Castilleja_coccinea","Castilleja_coccinea","Castilleja_coccinea","Castilleja coccinea","Orobanchaceae","Other",NA,"castilleja coccinea","Castilleja coccinea","(L.) Spreng."
"29","CEAAME","Ceanothus_americanus","Ceanothus_americanus","Ceanothus_americanus","Ceanothus americanus","Rhamnaceae","Other",NA,"ceanothus americanus","Ceanothus americanus","L."
"30","CHAFAS","Chamaecrista_fasciculata","Chamaecrista_fasciculata","Chamaecrista_fasciculata","Chamaecrista fasciculata","Fabaceae","Fabaceae",NA,"chamaecrista fasciculata","Chamaecrista fasciculata","(Michx.) Greene"
"31","CORPAL","Coreopsis_palmata","Coreopsis_palmata","Coreopsis_palmata","Coreopsis palmata","Asteraceae","Asteraceae",NA,"coreopsis palmata","Coreopsis palmata","Nutt."
"32","CORTRI","Coreopsis_tripteris","Coreopsis_tripteris","Coreopsis_tripteris","Coreopsis tripteris","Asteraceae","Asteraceae",NA,"coreopsis tripteris","Coreopsis tripteris","L."
"33","CXANNE","Carex_annectens","Carex_annectens","Carex_annectens","Carex annectens","Cyperaceae","Cyperaceae",NA,"carex annectens","Carex annectens","(E.P.Bicknell) E.P.Bicknell"
"34","CXBICK","Carex_bicknellii","Carex_bicknellii","Carex_bicknellii","Carex bicknellii","Cyperaceae","Cyperaceae",NA,"carex bicknellii","Carex bicknellii","Britton & A.Br."
"35","CXBLAN","Carex_blanda","Carex_blanda","Carex_blanda","Carex blanda","Cyperaceae","Cyperaceae",NA,"carex blanda","Carex blanda","Dewey"
"36","CXBREV","Carex_brevior","Carex_brevior","Carex_brevior","Carex brevior","Cyperaceae","Cyperaceae",NA,"carex brevior","Carex brevior","(Dewey) Mack. ex Lunell"
"37","CXGRAV","Carex_gravida","Carex_gravida","Carex_gravida","Carex gravida","Cyperaceae","Cyperaceae",NA,"carex gravida","Carex gravida","L.H.Bailey"
"38","CXMOLE","Carex_molesta","Carex_molesta","Carex_molesta","Carex molesta","Cyperaceae","Cyperaceae",NA,"carex molesta","Carex molesta","Mack."
"39","CXNORM","Carex_normalis","Carex_normalis","Carex_normalis","Carex normalis","Cyperaceae","Cyperaceae",NA,"carex normalis","Carex normalis","Mack."
"40","DALCAN","Dalea_candida","Dalea_candida","Dalea_candida","Dalea candida","Fabaceae","Fabaceae",NA,"dalea candida","Dalea candida","Willd."
"41","DALPUR","Dalea_purpurea","Dalea_purpurea","Dalea_purpurea","Dalea purpurea","Fabaceae","Fabaceae",NA,"dalea purpurea","Dalea purpurea","Vent."
"42","DESCAN","Desmodium_canadense","Desmodium_canadense","Desmodium_canadense","Desmodium canadense","Fabaceae","Fabaceae",NA,"desmodium canadense","Desmodium canadense","(L.) DC."
"43","DESILL","Desmodium_illinoense","Desmodium_illinoense","Desmodium_illinoense","Desmodium illinoense","Fabaceae","Fabaceae",NA,"desmodium illinoense","Desmodium illinoense","A.Gray"
"44","DODMEA","Dodecatheon_meadia","Dodecatheon_media","Dodecatheon_media","Dodecatheon meadia","Primulaceae","Other",NA,"dodecatheon meadia","Primula meadia","(L.) A.R.Mast & Reveal"
"45","DSMILL","Desmanthus_illinoensis","Desmanthus_illinoensis","Desmanthus_illinoensis","Desmanthus illinoensis","Fabaceae","Fabaceae",NA,"desmanthus illinoensis","Desmanthus illinoensis","(Michx.) MacMill."
"46","ECHPAL","Echinacea_pallida","Echinacea_pallida","Echinacea_pallida","Echinacea pallida","Asteraceae","Asteraceae",NA,"echinacea pallida","Echinacea pallida","(Nutt.) Nutt."
"47","ECHPUR","Echinacea_purpurea","Echinacea_purpurea","Echinacea_purpurea","Echinacea purpurea","Asteraceae","Asteraceae",NA,"echinacea purpurea","Echinacea purpurea","(L.) Moench"
"48","ELYCAN","Elymus_canadensis","Elymus_canadensis","Elymus_canadensis","Elymus canadensis","Poaceae","Poaceae",NA,"elymus canadensis","Elymus canadensis","L."
