"","spec.name","spec.name.ORIG","Squished","Brackets.detected","Number.detected","Unique","Matched","Fuzzy","Fuzzy.toomany","Fuzzy.two","Fuzzy.one","Fuzzy.dist","OriSeq","Subseq","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","references","source","majorGroup","tplID","Hybrid","New.accepted","Old.status","Old.ID","Old.name","One.Reason"
"1","Agastache nepetoides","Agastache nepetoides",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1,1,"wfo-0000904334","urn:lsid:ipni.org:names:6315-2","4471","Agastache nepetoides","species","wfo-4000000903","(L.) Kuntze","Lamiaceae","","","","Agastache","","nepetoides","","species","Valid","Revis. Gen. Pl.  2: 511 (1891)","Accepted","","wfo-0000217203",NA,"Source in seed data: wcs Update namepublishedIn from Revis. Gen. Pl. 2: 511 1891 to Revis. Gen. Pl. 2: 511 (1891), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:6315-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-4471","",FALSE,"","","",""
"2","Agastache scrophulariifolia","Agastache scrophulariifolia",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2,1,"wfo-0000906952","urn:lsid:ipni.org:names:1063608-2","4496","Agastache scrophulariifolia","species","wfo-4000000903","(Willd.) Kuntze","Lamiaceae","","","","Agastache","","scrophulariifolia","","species","Valid","Revis. Gen. Pl.  2: 511 (1891)","Accepted","","wfo-0000217229",NA,"Source in seed data: wcs Update namepublishedIn from Revis. Gen. Pl. 2: 511 1891 to Revis. Gen. Pl. 2: 511 (1891), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1063608-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-4496","",FALSE,"","","",""
"3","Agalinis tenuifolia","Agalinis tenuifolia",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,3,1,"wfo-0000522848","urn:lsid:ipni.org:names:798597-1","757471","Agalinis tenuifolia","species","wfo-4000000878","(Vahl) Raf.","Orobanchaceae","","","","Agalinis","","tenuifolia","","species","Valid","New Fl. 2: 64 (1837)","Accepted","","wfo-0000701835",NA,"Source in seed data: cmp Updated namepublishedIn from New Fl. 2: 64 1837 to New Fl. [Rafinesque] ii. 64 (1836). , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30131632-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2625127","",FALSE,"","","",""
"4","Allium canadense","Allium canadense",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,4,1,"wfo-0000755875","urn:lsid:ipni.org:names:527759-1","295220","Allium canadense","species","wfo-4000001260","L.","Amaryllidaceae","","","","Allium","","canadense","","species","Valid","Sp. Pl. : 1195 (1753)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 2: 1195. 1753 [1 May 1753] to Sp. Pl. : 1195 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-295220","",FALSE,"","","","Not a synonym"
"7","Allium cernuum","Allium cernuum",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,5,1,"wfo-0000755924","urn:lsid:ipni.org:names:527801-1","295267","Allium cernuum","species","wfo-4000001260","Roth","Amaryllidaceae","","","","Allium","","cernuum","","species","Valid","Arch. Bot. (Leipzig) 1(2): 40 (1798)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Arch. Bot. [Leipzig] 1(3): 40. 1798 [Jul-Dec 1798] to Arch. Bot. (Leipzig) 1(2): 40 (1798), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.thepl","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-295267","",FALSE,"","","","Not a synonym"
"9","Amorpha canescens","Amorpha canescens",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,6,1,"wfo-0000178822","urn:lsid:ipni.org:names:60431313-2","24889","Amorpha canescens","species","wfo-4000001655","Pursh","Fabaceae","Papilionoideae","","","Amorpha","","canescens","","species","Valid","Fl. Amer. Sept. 2: 467 (1813)","Accepted","","",NA,"Source in seed data: ildis Update namepublishedIn from to Fl. Amer. Sept. 2: 467 (1813), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-24889 >The Plant List v.1.","https://www.legumedata.org/taxonomy/taxon/2634126","The Fabaceae TEN - Legume Taxonomy Working Group","A","ild-24889","",FALSE,"","","","Accepted"
"11","Andropogon gerardii","Andropogon gerardii",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,7,1,"wfo-0000846629","urn:lsid:ipni.org:names:30435428-2","392462","Andropogon gerardii","species","wfo-4000002006","Vitman","Poaceae","","","","Andropogon","","gerardii","","species","Valid","Summa Pl. 6: 16 (1792)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Summa Pl. 6: 16 1792 to Summa Pl. 6: 16 (1792), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-392462 >The Pl","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30435428-2","The Poaceae TEN","A","kew-392462","",FALSE,"","","",""
"12","Anemone canadensis","Anemone canadensis",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,8,1,"wfo-0001330671","urn:lsid:ipni.org:names:60473574-2","","Anemonastrum canadense","species","wfo-4000002051","(L.) Mosyakin","Ranunculaceae","","","","Anemonastrum","","canadense","","species","Valid","Phytoneuron 2016-79: 4 (2016)","Accepted","","",NA,"Source in seed data: ipni Update namepublishedIn from Phytoneuron 2016-79: 4. [12 Dec 2016] to Phytoneuron 2016-79: 4 (2016), information provided by Alan E. on email Jun. 07 2021","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60473574-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","","",TRUE,"Synonym","wfo-0000535158","Anemone canadensis",""
"13","Anemone cylindrica","Anemone cylindrica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,9,1,"wfo-0000535215","urn:lsid:ipni.org:names:708323-1","770270","Anemone cylindrica","species","wfo-4000002053","A.Gray","Ranunculaceae","","","","Anemone","","cylindrica","","species","Valid","Ann. Lyceum Nat. Hist. New York 3: 221 (1828-836)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Ann. Lyceum Nat. Hist. New York 3: 221 1828-836 to Ann. Lyceum Nat. Hist. New York 3: 221 (1828-836), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http:/","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2638150","",FALSE,"","","",""
"14","Anemone virginiana","Anemone virginiana",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,10,1,"wfo-0000535900","urn:lsid:ipni.org:names:708711-1","770910","Anemone virginiana","species","wfo-4000002053","L.","Ranunculaceae","","","","Anemone","","virginiana","","species","Valid","Sp. Pl. : 540 (1753)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 540 1753 to Sp. Pl. : 540 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2638797 >The Plant L","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2638797","",FALSE,"","","",""
