"","spec.name","spec.name.ORIG","Squished","Brackets.detected","Number.detected","Unique","Matched","Fuzzy","Fuzzy.toomany","Fuzzy.two","Fuzzy.one","Fuzzy.dist","OriSeq","Subseq","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","references","source","majorGroup","tplID","Hybrid","New.accepted","Old.status","Old.ID","Old.name"
"1","Echinacea purpurea","Echinacea purpurea",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1,1,"wfo-0000036347","urn:lsid:ipni.org:names:1174497-2","GCC-AADAD3F3-3650-4DDD-BB13-E9573CBE0045","Echinacea purpurea","species","wfo-4000012904","(L.) Moench","Asteraceae","Asteroideae","Heliantheae","Zinniinae","Echinacea","","purpurea","","species","Valid","Methodus : 591 (1794)","Accepted","","wfo-0000074368",NA,"Source in seed data: gcc Update namepublishedIn from Methodus (Moench) 591. 1794 [4 May 1794] to Methodus : 591 (1794), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=1112461","The Asteraceaae TEN","A","gcc-135149","",FALSE,"","",""
"2","Echinacea pallida","Echinacea pallida",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2,1,"wfo-0000020152","urn:lsid:ipni.org:names:202374-1","GCC-97866579-2F3B-4E7D-8387-C546EF33C7A9","Echinacea pallida","species","wfo-4000012904","(Nutt.) Nutt.","Asteraceae","Asteroideae","Heliantheae","Zinniinae","Echinacea","","pallida","","species","Valid","Trans. Amer. Philos. Soc. , ser. 2, 7: 354 (1840)","Accepted","","wfo-0000120733",NA,"Source in seed data: gcc Update namepublishedIn from Trans. Amer. Philos. Soc. ser. 2, 7: 354 1840 to Trans. Amer. Philos. Soc. , ser. 2, 7: 354 (1840), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://w","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=1108010","The Asteraceaae TEN","A","gcc-119485","",FALSE,"","",""
"3","Echinacea pallida","Echinacea pallida",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2,2,"wfo-0000061161","urn:lsid:ipni.org:names:202375-1","GCC-FE523CEC-BF85-42E1-A36C-219FFEC075F0","Echinacea pallida","species","","Britton","Asteraceae","Asteroideae","Heliantheae","Zinniinae","Echinacea","","pallida","","species","Valid","Ill. Fl. N. U.S. (Britton & Brown), ed. 2. 3: 476. 1913","Unchecked","","",NA,"Source in seed data: gcc Updated namepublishedIn from Ill. Fl. N. U.S. (Britton & Brown), ed. 2. 3: 476 1913 to Ill. Fl. N. U.S. (Britton & Brown), ed. 2. 3: 476. 1913 , information provided by Alan E. on email Oct. 12 2020 More details could be found in","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=1121480","The Asteraceaae TEN","A","gcc-18187","",FALSE,"","",""
"4","Asclepias tuberosa","Asclepias tuberosa",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,3,1,"wfo-0000551830","urn:lsid:ipni.org:names:94704-1","787292","Asclepias tuberosa","species","wfo-4000003243","L.","Apocynaceae","","Asclepiadeae","Asclepiadinae","Asclepias","","tuberosa","","species","Valid","Sp. Pl. : 217 (1753)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 217 1753 to Sp. Pl. : 217 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2655244 >The Plant L","","The Apocynaceae TEN","A","kew-2655244","",FALSE,"","",""
"5","Asclepias syriaca","Asclepias syriaca",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,4,1,"wfo-0000551803","urn:lsid:ipni.org:names:94683-1","787267","Asclepias syriaca","species","wfo-4000003243","L.","Apocynaceae","","Asclepiadeae","Asclepiadinae","Asclepias","","syriaca","","species","Valid","Sp. Pl. 1: 214. 1753 [1 May 1753]","Accepted","","",NA,"Source in seed data: cmp Updated namepublishedIn from Sp. Pl. ed. 2 214 1762 to Sp. Pl. 1: 214. 1753 [1 May 1753] , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew","","The Apocynaceae TEN","A","kew-2655219","",FALSE,"","",""
"6","Coreopsis tripteris","Coreopsis tripteris",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,5,1,"wfo-0000088275","urn:lsid:ipni.org:names:65938-2","GCC-D07C8E1C-1750-47DB-A1D1-52A536A2D0E2","Coreopsis tripteris","species","wfo-4000009296","L.","Asteraceae","Asteroideae","Coreopsideae","","Coreopsis","","tripteris","","species","Valid","Sp. Pl. [Linnaeus] 2: 908 (1753)","Accepted","","",NA,"Source in seed data: gcc Update namepublishedIn from Sp. Pl. 908. 1753 to Sp. Pl. : 908 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-44613 >The Plant Li","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=1093475","The Asteraceaae TEN","A","gcc-44613","",FALSE,"","",""
"7","Coreopsis lanceolata","Coreopsis lanceolata",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,6,1,"wfo-0000046514","urn:lsid:ipni.org:names:65831-2","GCC-CC8D2846-45D7-49AE-AF11-FF60A66587AC","Coreopsis lanceolata","species","wfo-4000009296","L.","Asteraceae","Asteroideae","Coreopsideae","","Coreopsis","","lanceolata","","species","Valid","Sp. Pl. 2: 908. 1753 [1 May 1753]","Accepted","","",NA,"Source in seed data: gcc Updated namepublishedIn from Sp. Pl. 908 1753 to Sp. Pl. 2: 908. 1753 [1 May 1753] , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-14498","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=1114240","The Asteraceaae TEN","A","gcc-144980","",FALSE,"","",""
"8","Symphyotrichum novae-angliae","Symphyotrichum novae-angliae",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,7,1,"wfo-0000115996","urn:lsid:ipni.org:names:981863-1","GCC-BFC967B5-5C07-4F49-A561-66D9BF32C1EB","Symphyotrichum novae-angliae","species","wfo-4000037221","(L.) G.L.Nesom","Asteraceae","Asteroideae","Astereae","Symphyotrichinae","Symphyotrichum","","novae-angliae","","species","Valid","Phytologia 77(3): 287 (1995)","Accepted","","wfo-0000047975",NA,"Source in seed data: gcc Update namepublishedIn from Phytologia 77 287 to Phytologia 77(3): 287 (1995), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-77418 >The ","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=1096085","The Asteraceaae TEN","A","gcc-77418","",FALSE,"","",""
"9","Symphyotrichum leave","Symphyotrichum leave",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2,8,1,"wfo-0000134210","urn:lsid:ipni.org:names:23666-2","GCC-371FF008-9BE8-488D-9D34-8E53338E9841","Aster leonis","species","wfo-4000003381","Britton","Asteraceae","Asteroideae","Astereae","Asterinae","Aster","","leonis","","species","Valid","Mem. Torrey Bot. Club 16: 114 (1920)","Accepted","","",NA,"Source in seed data: gcc Update namepublishedIn from Mem. Torrey Bot. Club 16: 114. 1920 to Mem. Torrey Bot. Club 16: 114 (1920), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=1101074","The Asteraceaae TEN","A","gcc-95006","",TRUE,"Synonym","wfo-0000119445","Symphyotrichum leone"
"10","Symphyotrichum leave","Symphyotrichum leave",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2,8,2,"wfo-0000129622","urn:lsid:ipni.org:names:911502-1","GCC-D112BFF7-727F-46EA-8CBE-844E473FA5D1","Symphyotrichum laeve","species","wfo-4000037221","(L.) Á.Löve & D.Löve","Asteraceae","Asteroideae","Astereae","Symphyotrichinae","Symphyotrichum","","laeve","","species","Valid","Taxon 31(2): 359 (1982):.","Accepted","","wfo-0000131623",NA,"Source in seed data: gcc Updated namepublishedIn from 359 1982 to Taxon 31(2): 359 (1982):. , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-90549 >The Plant List","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=1099840","The Asteraceaae TEN","A","gcc-90549","",FALSE,"","",""
